score,proximity_score,mean_member_km,nearest_home_m,housing_status,site_code,site_name,council,address,size_ha,site_type,development_potential,previous_use,lat,lon,km_from_glasgow_centre,km_from_glasgow_airport,km_from_cumbernauld_airport,in_airport_frz,map_url
9,2,16.9,0.6,violation,8445298,FORMER PS,South Lanarkshire,NEWTON BRAE NEWTON,0.6,Vacant Land,Developable - Undetermined,Education,55.820097,-4.126343,9.1,19.9,16.9,False,"https://www.google.com/maps/search/?api=1&query=55.820097,-4.126343"
9,2,18.3,0.6,violation,3563,,Glasgow City,BARNKIRK AVENUE/ BLACKCRAIG AVE.,1.24,Vacant Land,Developable - Medium Term,Residential - Housing,55.912755,-4.36429,9.2,6.8,24.2,False,"https://www.google.com/maps/search/?api=1&query=55.912755,-4.364290"
9,2,16.2,6.9,violation,2913,,Glasgow City,11 LOCHDOCHART ROAD.,1.18,Vacant Land,Developable - Medium Term,Residential - Housing,55.865057,-4.104027,9.5,20.6,12.0,False,"https://www.google.com/maps/search/?api=1&query=55.865057,-4.104027"
9,2,16.2,1.0,violation,4094,RODGERFIELD P.S.,Glasgow City,CORSEHILL STREET DALSWINTON ST.,0.81,Vacant Land,Developable - Medium Term,Education,55.865948,-4.104507,9.5,20.6,11.9,False,"https://www.google.com/maps/search/?api=1&query=55.865948,-4.104507"
9,2,16.4,2.5,violation,3607,,Glasgow City,LOCHDOCHART ROAD /TWINLAW STREET,0.87,Vacant Land,Developable - Medium Term,Residential - Housing,55.87175,-4.097836,10.0,21.0,11.2,False,"https://www.google.com/maps/search/?api=1&query=55.871750,-4.097836"
9,2,18.9,0.0,violation,4095,LOCHGOIN P.S.,Glasgow City,12 LOCHGOIN AVENUE,1.5,Vacant Land,Developable - Medium Term,Education,55.916376,-4.376018,10.0,6.7,24.9,False,"https://www.google.com/maps/search/?api=1&query=55.916376,-4.376018"
9,2,16.5,1.6,violation,3698,,Glasgow City,TWINLAW STREET/ ABBEYCRAIG ROAD.,1.33,Vacant Land,Developable - Medium Term,Residential - Housing,55.871156,-4.095294,10.2,21.2,11.1,False,"https://www.google.com/maps/search/?api=1&query=55.871156,-4.095294"
9,2,22.9,44.9,violation,350796,LOMOND CRESCENT,Renfrewshire,LOMOND CRESCENT PAISLEY (GLENBURN),0.73,Vacant Land,Developable - Medium Term,Residential - Housing,55.825078,-4.432157,11.6,4.5,31.3,True,"https://www.google.com/maps/search/?api=1&query=55.825078,-4.432157"
9,2,19.6,16.0,violation,NL008501918,FORMER PLAYING FIELDS (PROPOSED HOUSING SITE),North Lanarkshire,LABURNUM ROAD VIEWPARK UDDINGSTON,1.01,Vacant Land,Developable - Short Term,Recreation & Leisure,55.825124,-4.052123,13.3,24.3,14.4,False,"https://www.google.com/maps/search/?api=1&query=55.825124,-4.052123"
9,2,24.3,44.7,violation,350779,ALMOND CRESCENT,Renfrewshire,ALMOND CRESCENT PAISLEY (FOXBAR),1.26,Vacant Land,Developable - Medium Term,Residential - Housing,55.83207,-4.462888,13.3,4.2,32.7,True,"https://www.google.com/maps/search/?api=1&query=55.832070,-4.462888"
