score,proximity_score,mean_member_km,nearest_home_m,housing_status,site_code,site_name,council,address,size_ha,site_type,development_potential,previous_use,lat,lon,km_from_glasgow_centre,km_from_glasgow_airport,km_from_cumbernauld_airport,in_airport_frz,map_url
9,2,18.1,4.5,violation,4382,FMR THIRLSTANE NURSERY,Glasgow City,56 CRAGGAN DRIVE YOKER,1.33,Vacant Land,Developable - Medium Term,Education,55.887788,-4.368481,7.8,4.8,25.1,True,"https://www.google.com/maps/search/?api=1&query=55.887788,-4.368481"
9,2,15.4,135.4,ok,3284,,Glasgow City,8-12 ARNISDALE ROAD,1.09,Vacant Land,Developable - Medium Term,Residential - Housing,55.866137,-4.126429,8.2,19.2,12.8,False,"https://www.google.com/maps/search/?api=1&query=55.866137,-4.126429"
9,2,16.8,0.4,violation,8445367,FORMER PS,South Lanarkshire,CAIRNSWELL AVENU CAMBUSLANG,2.65,Vacant Land,Developable - Undetermined,Education,55.810345,-4.149654,8.5,18.8,18.6,False,"https://www.google.com/maps/search/?api=1&query=55.810345,-4.149654"
9,2,17.7,105.1,ok,4064,PINEWOOD P.S.,Glasgow City,505 KINFAUNS DRIVE,1.17,Vacant Land,Developable - Medium Term,Education,55.914416,-4.350341,8.7,7.5,23.3,False,"https://www.google.com/maps/search/?api=1&query=55.914416,-4.350341"
9,2,15.9,3.8,violation,2915,,Glasgow City,3-23 BUCHLYVIE STREET.,1.97,Vacant Land,Developable - Medium Term,Residential - Housing,55.864217,-4.11266,9.0,20.1,12.4,False,"https://www.google.com/maps/search/?api=1&query=55.864217,-4.112660"
9,2,18.1,0.2,violation,3559,,Glasgow City,KINCLAVEN AVENUE BLACKCRAIG AVE LINKWOOD DR.,1.56,Vacant Land,Developable - Medium Term,Residential - Housing,55.912596,-4.361832,9.0,6.9,24.0,False,"https://www.google.com/maps/search/?api=1&query=55.912596,-4.361832"
9,2,15.9,0.8,violation,4127,,Glasgow City,WESTERHOUSE ROAD ERROGIE STREET,0.95,Vacant Land,Unknown (uncertain/insufficient information),Unknown,55.867941,-4.111967,9.1,20.1,12.1,False,"https://www.google.com/maps/search/?api=1&query=55.867941,-4.111967"
9,2,20.7,,ok,350891,OLDBARHILLS TRAVELLERS SITE,Renfrewshire,HURLET ROAD PAISLEY,1.74,Derelict,Uneconomic to Develop/Soft End Use,"Residential - Hotels, Hostels etc",55.824172,-4.387555,9.1,5.5,28.9,False,"https://www.google.com/maps/search/?api=1&query=55.824172,-4.387555"
9,2,16.9,0.6,violation,8445298,FORMER PS,South Lanarkshire,NEWTON BRAE NEWTON,0.6,Vacant Land,Developable - Undetermined,Education,55.820097,-4.126343,9.1,19.9,16.9,False,"https://www.google.com/maps/search/?api=1&query=55.820097,-4.126343"
9,2,20.9,,ok,8510453,FMR SEWERAGE WKS,East Renfrewshire,GLASGOW ROAD BARRHEAD,0.79,Derelict,Uneconomic to Develop/Soft End Use,Community & Health,55.810817,-4.37641,9.2,7.1,29.0,False,"https://www.google.com/maps/search/?api=1&query=55.810817,-4.376410"
9,2,18.2,85.8,ok,3560,,Glasgow City,BARNKIRK AVENUE/ BLACKCRAIG AVE/ KINFAUNS DR.,1.32,Vacant Land,Developable - Medium Term,Residential - Housing,55.913583,-4.363333,9.2,6.9,24.1,False,"https://www.google.com/maps/search/?api=1&query=55.913583,-4.363333"
9,2,18.3,0.6,violation,3563,,Glasgow City,BARNKIRK AVENUE/ BLACKCRAIG AVE.,1.24,Vacant Land,Developable - Medium Term,Residential - Housing,55.912755,-4.36429,9.2,6.8,24.2,False,"https://www.google.com/maps/search/?api=1&query=55.912755,-4.364290"
9,2,18.4,107.6,ok,3666,,Glasgow City,KINFAUNS DRIVE/ PEEL GLEN ROAD,0.91,Vacant Land,Developable - Medium Term,Residential - Housing,55.915435,-4.364678,9.4,7.0,24.2,False,"https://www.google.com/maps/search/?api=1&query=55.915435,-4.364678"
9,2,16.2,6.9,violation,2913,,Glasgow City,11 LOCHDOCHART ROAD.,1.18,Vacant Land,Developable - Medium Term,Residential - Housing,55.865057,-4.104027,9.5,20.6,12.0,False,"https://www.google.com/maps/search/?api=1&query=55.865057,-4.104027"
9,2,16.2,1.0,violation,4094,RODGERFIELD P.S.,Glasgow City,CORSEHILL STREET DALSWINTON ST.,0.81,Vacant Land,Developable - Medium Term,Education,55.865948,-4.104507,9.5,20.6,11.9,False,"https://www.google.com/maps/search/?api=1&query=55.865948,-4.104507"
