FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.1700,Highland,FEARN AIRFIELD,642 FEA1B,FEARN,S01010746,Developable - Short Term,285218,876089,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,1.66,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,831
pub_vdl.1701,Highland,FEARN AIRFIELD,642 FEA1C,FEARN,S01010746,Developable - Short Term,284948,876105,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,2.83,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,832
pub_vdl.1702,Highland,FEARN AIRFIELD,642 FEA1D,FEARN,S01010746,Developable - Short Term,284058,875755,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,3.54,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,830
pub_vdl.1703,Highland,FEARN AIRFIELD,642 FEA1E,FEARN,S01010746,Developable - Short Term,283929,876219,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,1.48,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,833
pub_vdl.1704,Highland,FEARN AIRFIELD,642 FEA1F,FEARN,S01010746,Developable - Short Term,284279,875845,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,1.28,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,829
pub_vdl.1705,Highland,NORTH EAST PLOT,PORTREE_2024_1,PORTREE INDUSTRIAL ESTATE PORTREE,S01010680,Unknown (uncertain/insufficient information),147456,844424,Ownership unknown,Ownership unknown,Unknown,Prepared Ground,0.38,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,850
pub_vdl.1718,Highland,SMALL YARD,727 UIG2,UIG INDUSTRIAL EST OPP FERRY TERMINAL UIG,S01010683,Developable - Medium Term,138447,863715,Unknown Private,Not applicable (i.e. only one owner),1991-1995,Storage,0.57,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,845
pub_vdl.1707,Highland,FENDOM AIRFIELD,646 TA21A,TAIN,S01010749,Developable - Medium Term,282336,881163,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,14.17,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,824
pub_vdl.1708,Highland,FENDOM AIRFIELD,646 TA21B,TAIN,S01010749,Developable - Medium Term,282043,881401,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Defence,0.61,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,825
pub_vdl.1710,Highland,MARCONI YARD,701 STF3,MAIN STREET ON THE COAST STROMEFERRY,S01010671,Developable - Medium Term,186616,834661,Unknown Private,Not applicable (i.e. only one owner),1991-1995,Storage,1.32,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,803
pub_vdl.1711,Highland,OLD TORRIN QUARRY,703 BRO1,CNOC SLAPIN B8083 BROADFORD,S01010674,Uneconomic to Develop/Soft End Use,157275,821335,Other Private,Not applicable (i.e. only one owner),Unknown,Mineral Activity,1.8,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,788
pub_vdl.1712,Highland,SAWMILL,706 DUN1,NR DUNVEGAN CASTLE DUNVEGAN,S01010684,Unknown (uncertain/insufficient information),124575,849540,Unknown Private,Not applicable (i.e. only one owner),1981-1985,Forestry/Woodland,1.32,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,790
pub_vdl.1713,Highland,OLD CAMPSITE,709 KMG8,SOUTH SIDE OF A855 S OF KENDRAM KILMALUAG,S01010683,Developable - Undetermined,143955,873910,Unknown Private,Not applicable (i.e. only one owner),Unknown,Recreation & Leisure,1.16,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,794
pub_vdl.1714,Highland,FORMER QUARRY,713 GSL1,ACHNAGART W SIDE OF A87 GLENSHIEL,S01010669,Uneconomic to Develop/Soft End Use,196266,814839,Other Private,Not applicable (i.e. only one owner),1991-1995,Mineral Activity,6.97,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,791
pub_vdl.1715,Highland,FORMER REFUSE TIP,719 PLN2,S OF AIRSTRIP PLOCKTON,S01010671,Uneconomic to Develop/Soft End Use,178998,832770,Local Authority,Not applicable (i.e. only one owner),1986-1990,Community & Health,0.38,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,800
pub_vdl.1716,Highland,4 WOODPARK CROFT,721 PO7,PORTREE,S01010680,Developable - Short Term,147489,843965,Local Authority,Not applicable (i.e. only one owner),1991-1995,Agriculture,0.56,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,769
pub_vdl.1717,Highland,LEALT QUARRY,725 STA1,A855 STAFFIN,S01010678,Uneconomic to Develop/Soft End Use,151873,860595,Scottish Government,Not applicable (i.e. only one owner),2001-2004,Mineral Activity,1.64,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,802
pub_vdl.1719,Highland,ADJACENT TO FERRY INN,727 UIG3,UIG,S01010683,Developable - Undetermined,139848,864020,Unknown Private,Not applicable (i.e. only one owner),Unknown,Residential - Housing,0.15,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,806
pub_vdl.1720,Highland,DISUSED FILLING STATION,804 BET1,OPP FARR VIEW NR WAR MEMORIAL BETTYHILL,S01010811,Uneconomic to Develop/Soft End Use,271122,962155,Unknown Private,Not applicable (i.e. only one owner),Unknown,Retailing,0.13,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,816
pub_vdl.1727,Highland,FORMER NORFROST SITE,CAN_2015_1,MURRAYFIELD CASTLETOWN,S01010792,Developable - Short Term,319205,967752,Ownership unknown,Not applicable (i.e. only one owner),2015,Manufacturing,10.07,Vacant Land and Buildings,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,813
pub_vdl.1728,Highland,DALCROSS COLDSTORE,DALCROSS_2023_1,DALCROSS INDUSTRIAL ESTATE DALCROSS,S01010569,Unknown (uncertain/insufficient information),276022,851961,Ownership unknown,Ownership unknown,2019,Storage,1.28,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,842
pub_vdl.1729,Highland,EDGEMOOR FILLING STATION,SPITTAL_2024_1,A9 SPITTAL,S01010796,Unknown (uncertain/insufficient information),316861,953826,Ownership unknown,Ownership unknown,2015,Retailing,0.22,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,851
pub_vdl.1730,Highland,OPPOSITE SKIACH SERVICES,EVANTON_2023_1,EVANTON INDUSTRIAL ESTATE EVANTON,S01010699,Unknown (uncertain/insufficient information),262909,867819,Ownership unknown,Ownership unknown,Unknown,Unknown,0.19,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,844
pub_vdl.1731,Highland,FORMER INDUSTRIAL BUILDINGS,EVANTON_2024_1,NEWTON ROAD SOUTH DEEPHAVEN EVANTON,S01010699,Unknown (uncertain/insufficient information),262080,866651,Ownership unknown,Ownership unknown,2011,Manufacturing,0.87,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,848
pub_vdl.1732,Highland,CORRIES YARD,FORTWILLIAM_2023_1,LOCHYSIDE FORT WILLIAM,S01010509,Unknown (uncertain/insufficient information),212938,776061,Ownership unknown,Ownership unknown,Unknown,Unknown,3.03,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,843
pub_vdl.1733,Highland,FORMER SCHOOL,GLE_2013_1,GLENBORRODALE GLENBORODALE,S01010504,Developable - Short Term,161966,760743,Local Authority,Not applicable (i.e. only one owner),2001-2004,Education,0.22,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,808
pub_vdl.1734,Highland,SE PLOT,GOLSPIE_2024_1,GOLSPIE BUSINESS PARK GOLSPIE,S01010766,Unknown (uncertain/insufficient information),282440,899658,Ownership unknown,Ownership unknown,1996-2000,Prepared Ground,0.23,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,847
pub_vdl.1735,Highland,FORMER ENGINEERING WORKS,H213 TH7,MILLBANK ROAD THURSO,S01010802,Developable - Short Term,311629,967802,Local Authority,Not applicable (i.e. only one owner),1980 or earlier,Manufacturing,0.4,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,740
pub_vdl.1736,Highland,FORMER RADIO STATION,H215 WK47,NEWTON ROAD WICK,S01010780,Developable - Medium Term,335877,950434,Private Telecommunications,Not applicable (i.e. only one owner),2001-2004,Utility Services,0.55,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,752
pub_vdl.1756,Inverclyde,,8460049,RUE END STREET SCOTTS DRY DOCK GREENOCK,S01010894,Developable - Medium Term,228725,675823,Local Authority,Not applicable (i.e. only one owner),1980 or earlier,Transport,0.8,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,880
pub_vdl.1737,Highland,EAST OF GEORGE STREET,H215 WK52,WICK,S01010782,Developable - Short Term,336179,951339,Local Authority,Other Private,1996-2000,Passive Open Space,0.48,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,759
pub_vdl.1738,Highland,REAR OF AMBULANCE STATION,I215 WK36,WICK INDUSTRIAL ESTATE WICK,S01010788,Unknown (uncertain/insufficient information),336557,951930,Ownership unknown,Ownership unknown,1980 or earlier,Unknown,0.47,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,745
pub_vdl.1739,Highland,SOUTHERN PLOT,THURSO_2024_1,ORMLIE INDUSTRIAL ESTATE NEILL GUNN DRIVE THURSO,S01010806,Developable - Short Term,310566,967319,Ownership unknown,Ownership unknown,2021,Prepared Ground,0.11,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,846
pub_vdl.1740,Highland,LONGMAN ESTATE,I319 INV147,ADJ TO LONGMAN DRIVE INVERNESS,S01010619,Unknown (uncertain/insufficient information),266881,847124,Local Authority,Not applicable (i.e. only one owner),1980 or earlier,Other,0.52,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,766
pub_vdl.1741,Highland,OLD WORKS BEN NEVIS INDUSTRIAL ESTATE,I407 FW8,FORT WILLIAM,S01010509,Unknown (uncertain/insufficient information),212061,774788,Other Private,Not applicable (i.e. only one owner),1981-1985,Other,2.26,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,774
pub_vdl.1742,Highland,TEANINICH DISTILLERY (EAST),I603 AL5,ALNESS INDUSTRIAL ESTATE ALNESS,S01010734,Unknown (uncertain/insufficient information),265471,869033,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Other,0.69,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,815
pub_vdl.1743,Highland,N OF HARBOUR,I717 KYL1,RAILWAY PIER KYLE OF LOCHALSH,S01010672,Developable - Medium Term,176284,827195,Local Authority,Network Rail/ Rail Franchise Holder,1980 or earlier,Storage,0.1,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,796
pub_vdl.1744,Highland,CROMARTY FIRTH INDUSTRIAL ESTATE SITE 3,INVERGORDON_2024_1,INVERGORDON,S01010744,Developable - Short Term,271081,870468,Ownership unknown,Ownership unknown,Unknown,Other General Industry,4.08,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,853
pub_vdl.1745,Highland,FORMER BAKERY SITE,INV_2015_1,1 BURNETT ROAD INVERNESS,S01010619,Developable - Short Term,266750,845850,Unknown Public,Not applicable (i.e. only one owner),2009,Manufacturing,0.48,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,812
pub_vdl.1746,Highland,FORMER UHI SITE,INV_2015_2,3 LONGMAN ROAD INVERNESS,S01010619,Developable - Short Term,266848,846056,Other Private,Not applicable (i.e. only one owner),2015,Education,1.75,Vacant Land and Buildings,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,814
pub_vdl.1747,Highland,NE OF 69 CARSEGATE ROAD,INV_2021_1,CARSEGATE ROAD INVERNESS,S01010642,Developable - Medium Term,265243,846587,Ownership unknown,Ownership unknown,Unknown,Community & Health,0.27,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,834
pub_vdl.1748,Highland,FORMER FERGUSON YARD,KILTARLITY_2024_1,KILTARLITY,S01010656,Unknown (uncertain/insufficient information),250733,841540,Ownership unknown,Ownership unknown,1996-2000,Other General Industry,0.22,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,849
pub_vdl.1749,Highland,KILBEG VILLAGE,KIL_2013_1B,KILBEG,S01010676,Developable - Short Term,165387,806634,Other Private,Not applicable (i.e. only one owner),2008,Other,1.22,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,821
pub_vdl.1750,Highland,BEHIND CO-OP,PORTREE_2021_1,DUNVEGAN ROAD PORTREE,S01010680,Unknown (uncertain/insufficient information),147362,844253,Ownership unknown,Ownership unknown,2014,Other General Industry,1.05,Vacant Land,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,836
pub_vdl.1751,Highland,FORMER SLAUGHTERHOUSE,WICK_2024_1,HENRIETTA STREET WICK,S01010782,Unknown (uncertain/insufficient information),336247,951379,Ownership unknown,Ownership unknown,2010,Agriculture,0.24,Derelict,S12000017,a10ac28a-dc05-4d2b-afcb-10e5a2fdd1e5,2025-11-30,852
pub_vdl.1752,Inverclyde,,8460011,RUE END STREET VICTORIA HARBOUR GREENOCK,S01010894,Developable - Medium Term,228576,675782,Local Authority,Not applicable (i.e. only one owner),1980 or earlier,Transport,1.52,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,872
pub_vdl.1753,Inverclyde,,8460014,KILMUN ROAD STRONE FARM GREENOCK,S01010820,Developable - Medium Term,228276,675173,Local Authority,Network Rail/ Rail Franchise Holder,1980 or earlier,Unknown,0.55,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,906
pub_vdl.1754,Inverclyde,,8460023,NEWARK STREET/BOUVERIE STREET PORT GLASGOW,S01010912,Developable - Undetermined,232570,674334,Unknown Private,Not applicable (i.e. only one owner),1981-1985,Manufacturing,1.09,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,869
pub_vdl.1755,Inverclyde,,8460036,LURG STREET PORT GLASGOW IE PORT GLASGOW,S01010914,Developable - Medium Term,232699,673743,Other Private,Not applicable (i.e. only one owner),1986-1990,Manufacturing,0.65,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,878
pub_vdl.1757,Inverclyde,,8460099,SINCLAIR STREET GREENOCK,S01010905,Developable - Undetermined,229924,675322,Other Private,Not applicable (i.e. only one owner),1981-1985,Transport,2.44,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,927
pub_vdl.1758,Inverclyde,,8460103,GARVEL ISLAND GREENOCK,S01010905,Developable - Medium Term,229716,675834,Private Port Company,Not applicable (i.e. only one owner),1981-1985,Manufacturing,3.61,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,871
pub_vdl.1759,Inverclyde,,8460131,KELBURN TERRACE KELBURN PORT GLASGOW,S01010917,Developable - Undetermined,233598,674230,Local Authority,Local Authority,1980 or earlier,Manufacturing,0.42,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,877
pub_vdl.1760,Inverclyde,,8460163,CARWOOD STREET GREENOCK,S01010903,Developable - Short Term,229659,675343,Other Private,Not applicable (i.e. only one owner),1980 or earlier,Storage,0.22,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,873
pub_vdl.1761,Inverclyde,,8460196,BROUGHAM STREET GREENOCK,S01010871,Developable - Undetermined,227304,676943,Private Port Company,Not applicable (i.e. only one owner),1986-1990,Unknown,0.71,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,913
pub_vdl.1762,Inverclyde,INGLESTON (NE),8460210,BAKER STREET GREENOCK,S01010894,Developable - Undetermined,228400,675503,Other Private,Not applicable (i.e. only one owner),1986-1990,Other General Industry,0.94,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,858
pub_vdl.1763,Inverclyde,INGLESTON (W),8460211,SCOTT STREET GREENOCK,S01010885,Developable - Medium Term,228246,675544,Local Authority,Not applicable (i.e. only one owner),1986-1990,Storage,0.35,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,929
pub_vdl.1764,Inverclyde,,8460215,BERRYYARDS ROAD BERRYMOUNT GREENOCK,S01010885,Uneconomic to Develop/Soft End Use,227689,675344,Water Authority,Not applicable (i.e. only one owner),Unknown,Utility Services,0.36,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,934
pub_vdl.1765,Inverclyde,,8460222,DOCK BREAST EAST INDIA HARBOUR GREENOCK,S01010894,Developable - Medium Term,228379,676011,Local Authority,Other Private,1986-1990,Manufacturing,1.55,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,865
pub_vdl.1775,Inverclyde,FMR TATE & LYLE 2 (NE),8460314,DRUMFROCHAR ROAD GREENOCK,S01010885,Developable - Short Term,227866,675474,Other Private,Not applicable (i.e. only one owner),1996-2000,Manufacturing,0.25,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,931
pub_vdl.1766,Inverclyde,,8460234,SMITHY BRAE KILMACOLM,S01010818,Developable - Medium Term,235678,669922,Other Private,Not applicable (i.e. only one owner),1991-1995,Unknown,0.39,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,879
pub_vdl.1767,Inverclyde,,8460240,GARELOCH ROAD STRONE FARM GREENOCK,S01010897,Developable - Undetermined,228405,675053,Housing Association,Not applicable (i.e. only one owner),1991-1995,Residential - Housing,0.3,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,875
pub_vdl.1768,Inverclyde,,8460276,KATRINE ROAD STRONE FARM GREENOCK,S01010820,Developable - Undetermined,228337,675094,Housing Association,Not applicable (i.e. only one owner),1991-1995,Residential - Housing,0.73,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,874
pub_vdl.1769,Inverclyde,,8460277,LEPERSTONE AVENUE KILMACOLM,S01010819,Developable - Short Term,235921,670706,Other Private,Not applicable (i.e. only one owner),1996-2000,Passive Open Space,0.52,Vacant Land,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,924
pub_vdl.1770,Inverclyde,,8460279,KELBURN TERRACE KELBURN PORT GLASGOW,S01010920,Developable - Medium Term,234175,674154,Urban Regeneration Company,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,1.48,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,868
pub_vdl.1771,Inverclyde,FMR MADDISONS,8460299,ASHGROVE LANE PORT GLASGOW,S01010916,Developable - Medium Term,232820,674264,Other Private,Local Authority,1991-1995,Recreation & Leisure,0.41,Vacant Land,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,936
pub_vdl.1772,Inverclyde,,8460306,DARNDAFF ROAD STRONE FARM GREENOCK,S01010820,Developable - Undetermined,228338,674962,Housing Association,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.55,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,876
pub_vdl.1773,Inverclyde,,8460307,WOODSTOCK ROAD HOLE FARM GREENOCK,S01010823,Developable - Medium Term,226465,675233,Housing Association,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.24,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,911
pub_vdl.1774,Inverclyde,FMR TATE & LYLE 1(NW),8460313,DRUMFROCHAR ROAD GREENOCK,S01010885,Developable - Short Term,227755,675486,Other Private,Not applicable (i.e. only one owner),1996-2000,Manufacturing,0.68,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,933
pub_vdl.1776,Inverclyde,FMR TATE & LYLE 3 (SE),8460315,DRUMFROCHAR ROAD GREENOCK,S01010820,Developable - Medium Term,227910,675384,Other Private,Not applicable (i.e. only one owner),1996-2000,Manufacturing,2.02,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,932
pub_vdl.1777,Inverclyde,FMR TRAINING CENTRE,8460323,GARVEL ISLAND GREENOCK,S01010905,Developable - Undetermined,229550,675944,Private Port Company,Not applicable (i.e. only one owner),1996-2000,Other,0.89,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,870
pub_vdl.1778,Inverclyde,,8460324,CRAWBERRY ROAD STRONE FARM GREENOCK,S01010820,Developable - Undetermined,228335,674933,Housing Association,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.7,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,935
pub_vdl.1779,Inverclyde,GOUROCK ROPEWORKS,8460438,BAY STREET NEWARK ROUNDABOUT PORT GLASGOW,S01010912,Developable - Medium Term,232629,674407,Other Private,Not applicable (i.e. only one owner),1986-1990,Manufacturing,0.25,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,884
pub_vdl.1780,Inverclyde,,8460327,MANSION AVENUE WOODHALL PORT GLASGOW,S01010920,Developable - Medium Term,234514,673840,Housing Association,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.31,Vacant Land,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,923
pub_vdl.1781,Inverclyde,,8460344,PAPERMILL ROAD GREENOCK,S01010882,Developable - Medium Term,226760,675014,Local Authority,Not applicable (i.e. only one owner),1996-2000,Utility Services,0.28,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,901
pub_vdl.1782,Inverclyde,,8460349,KILMUN ROAD STRONE FARM GREENOCK,S01010820,Developable - Undetermined,228199,675154,Local Authority,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.78,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,905
pub_vdl.1783,Inverclyde,H MCNEIL BATHS,8460350,BRACHELSTON ROAD GREENOCK,S01010877,Developable - Medium Term,226858,676034,Local Authority,Not applicable (i.e. only one owner),1996-2000,Recreation & Leisure,0.98,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,900
pub_vdl.1784,Inverclyde,FMR KINCAIDS (2),8460352,MAIN STREET GREENOCK,S01010894,Developable - Medium Term,229136,675655,Urban Regeneration Company,Not applicable (i.e. only one owner),1996-2000,Manufacturing,1.43,Vacant Land,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,881
pub_vdl.1785,Inverclyde,IBM,8460353,SPANGO VALLEY GREENOCK,S01010832,Developable - Short Term,223770,674710,Other Private,Not applicable (i.e. only one owner),1996-2000,Agriculture,4.22,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,855
pub_vdl.1786,Inverclyde,FMR MOD,8460359,GARVEL ISLAND GREENOCK,S01010905,Developable - Undetermined,230362,675724,Private Port Company,Defence,1996-2000,Defence,1.35,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,926
pub_vdl.1787,Inverclyde,,8460366,WESTRAY AVENUE PARK FARM PORT GLASGOW,S01010928,Uneconomic to Develop/Soft End Use,234532,672841,Housing Association,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.24,Vacant Land,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,883
pub_vdl.1788,Inverclyde,,8460367,PLADDA AVENUE PARK FARM PORT GLASGOW,S01010929,Uneconomic to Develop/Soft End Use,234948,673079,Housing Association,Not applicable (i.e. only one owner),1996-2000,Residential - Housing,0.33,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,882
pub_vdl.1789,Inverclyde,FMR TATE & LYLE 2A (NE),8460368,DRUMFROCHAR ROAD GREENOCK,S01010885,Developable - Medium Term,227975,675484,Other Private,Not applicable (i.e. only one owner),1996-2000,Manufacturing,0.64,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,930
pub_vdl.1790,Inverclyde,FMR NURSERY,8460371,LYNEDOCH STREET GREENOCK,S01010893,Developable - Undetermined,228141,675969,Other Private,Not applicable (i.e. only one owner),2001-2004,Other,0.11,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,907
pub_vdl.1791,Inverclyde,FMR SEMICONDUCTORS BUILDING B,8460385,EARNHILL ROAD LARKFIELD IE GREENOCK,S01010851,Developable - Medium Term,223293,675913,Other Private,Not applicable (i.e. only one owner),2001-2004,Residential - Housing,1.8,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,908
pub_vdl.1792,Inverclyde,FLATS,8460397,KENILWORTH CRESCENT/WHOLEFARM ROAD GREENOCK,S01010882,Developable - Medium Term,226718,675244,Housing Association,Not applicable (i.e. only one owner),2005,Residential - Housing,3.03,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,854
pub_vdl.1796,Inverclyde,,8460444,MANSION AVENUE WOODHALL PORT GLASGOW,S01010920,Developable - Medium Term,234482,673762,Housing Association,Not applicable (i.e. only one owner),2009,Residential - Housing,0.2,Vacant Land,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,886
pub_vdl.1859,Midlothian,25 NEWBATTLE ROAD,282,NEAR NEWTONGRANGE,S01010993,Developable - Medium Term,333218,664773,Other Private,Not applicable (i.e. only one owner),2010,Recreation & Leisure,0.44,Derelict,S12000019,c2ebc69f-a923-40ef-8e12-ced7bc176a2c,2025-11-30,959
pub_vdl.1793,Inverclyde,HOUSES 2-54 AND 2 - 10,8460412,SUNNYSIDE AVENUE/PLEASANTSIDE AVENUE WOODHALL PORT GLASGOW,S01010920,Developable - Medium Term,234200,673896,Housing Association,Not applicable (i.e. only one owner),2005,Residential - Housing,5.04,Derelict,S12000018,87ae71af-1444-4197-b2a2-10530753c30e,2025-12-03,866
