FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.1019,Fife,FORMER GASWORKS,MF025,KELTY,S01009431,Developable - Undetermined,314303,694950,Ownership unknown,Ownership unknown,2007,Manufacturing,1.24,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2616
pub_vdl.1020,Fife,LAND AT GRANGE FARM,MF041,COWDENBEATH ROAD BURNTISLAND,S01009462,Unknown (uncertain/insufficient information),322438,686723,Other Private,Not applicable (i.e. only one owner),2009,Agriculture,0.42,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2525
pub_vdl.1021,Fife,FORMER RAILWAY SIDING,MF026,NEWBIGGING,S01009457,Unknown (uncertain/insufficient information),322520,690773,Network Rail/ Rail Franchise Holder,Not applicable (i.e. only one owner),2007,Transport,1.19,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2617
pub_vdl.1153,Glasgow City,,2623,232-236 BROOMIE- LAW/2 ANDERSTON QUAY.,S01010272,Developable - Medium Term,258140,664976,Scottish Enterprise,Not applicable (i.e. only one owner),1986-1990,Utility Services,0.34,Vacant Land,S12000049,05df8fc4-004a-4125-8629-0ae5c553022b,2025-12-03,324
pub_vdl.1023,Fife,MOUNTFLEURIE INDUSTRIAL ESTATE,MF031,WINDYGATES ROAD LEVEN,S01009644,Unknown (uncertain/insufficient information),336793,700962,Ownership unknown,Ownership unknown,2008,Unknown,1.52,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2488
pub_vdl.1024,Fife,THE PIGGERY,MF035,THE AVENUE LOCHGELLY,S01009442,Unknown (uncertain/insufficient information),319234,693154,Ownership unknown,Ownership unknown,2008,Agriculture,0.58,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2504
pub_vdl.1025,Fife,ASTRO SOCCER COMPLEX,MF038,VIEWFIELD GLENROTHES,S01009580,Unknown (uncertain/insufficient information),327121,699512,Ownership unknown,Ownership unknown,2001-2004,Recreation & Leisure,0.8,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2584
pub_vdl.1026,Fife,BURNTISLAND DOCKS,MF039,LAMMERLAWS ROAD BURNTISLAND,S01009460,Unknown (uncertain/insufficient information),323632,685698,Public Port Authority,Not applicable (i.e. only one owner),2009,Other,1.01,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2643
pub_vdl.1027,Fife,FORMER SOCIALSECURITY OFFICE,MF040,FACTORY ROAD COWDENBEATH,S01009418,Developable - Medium Term,316632,691746,Other National/Local Government,Not applicable (i.e. only one owner),2001-2004,Offices,0.17,Vacant Land and Buildings,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2522
pub_vdl.1028,Fife,DEN ROAD,MF064,DEN ROAD KIRKCALDY,S01009524,Developable - Undetermined,328211,692526,Unknown Private,Not applicable (i.e. only one owner),2001-2004,Manufacturing,0.59,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2581
pub_vdl.1066,Glasgow City,,1260,AULDHOUSE BURN/ WELLMEADOW ROAD,S01009938,Unknown (uncertain/insufficient information),255327,660735,Other Private,Not applicable (i.e. only one owner),1981-1985,Unknown,2.1,Vacant Land,S12000049,05df8fc4-004a-4125-8629-0ae5c553022b,2025-12-03,243
pub_vdl.1029,Fife,OLD STRAND FACTORY,MF066,MITCHELSTON DRIVE KIRKCALDY,S01009531,Developable - Medium Term,328746,694805,Other Private,Not applicable (i.e. only one owner),2007,Other General Industry,14.68,Vacant Land and Buildings,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2633
pub_vdl.1030,Fife,STATION,NEAC001,1 PITLESSIE ROAD LADYBANK,S01009666,Developable - Medium Term,330687,709685,Ownership unknown,Ownership unknown,2011,Other General Industry,0.18,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2659
pub_vdl.1031,Fife,DUTCH VILLAGE,NEAC002,CRAIGTOUN PARK ST ANDREWS,S01009734,Unknown (uncertain/insufficient information),348174,714118,Local Authority,Local Authority,2005,Recreation & Leisure,0.1,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2664
pub_vdl.1032,Fife,FORMER CAFÉ,ROS01,FERRY TOLL ROAD ROSYTH,S01009377,Developable - Medium Term,310920,682605,Ownership unknown,Ownership unknown,2007,Recreation & Leisure,0.63,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2591
